"Player","From","To","Pos","Ht","Wt","Birth Date","Colleges"
"Bobby Smith","1960","1962","G","6-4","190","August 20 1937","West Virginia"
"Charles Smith","1989","1997","F-C","6-10","230","July 16 1965","Pitt"
"Charles Smith","1990","1996","G","6-1","160","November 29 1967","Georgetown"
"Charles Smith","1998","2006","G","6-4","194","August 22 1975","New Mexico"
"Chris Smith","1993","1995","G","6-3","190","May 17 1970","UConn"
"Chris Smith","2014","2014","G","6-2","200","October 13 1987","Manhattan College Louisville"
"Clinton Smith","1987","1991","F","6-6","210","January 19 1964","Ohio State Cleveland State University"
"Craig Smith","2007","2012","F","6-7","250","November 10 1983","Boston College"
"Deb Smith","1947","1947","F","6-3","180","January 7 1920","Utah"
"Dennis Smith Jr.","2018","2022","G","6-2","205","November 25 1997","NC State"
"Derek Smith","1983","1991","G-F","6-6","205","November 1 1961","Louisville"
"Don Smith","1949","1949","G-F","6-2","190","July 27 1920","Minnesota"
"Don Smith","1975","1975","G","6-0","160","October 10 1951","Dayton"
"Donta Smith","2005","2006","G-F","6-7","215","November 27 1983","Southeastern Illinois College"
"Doug Smith","1992","1996","F","6-10","220","September 17 1969","Missouri"
"Ed Smith","1954","1954","F","6-6","180","July 5 1929","Harvard University"
"Elmore Smith","1972","1979","C","7-0","250","May 9 1949","Kentucky State University"
"Garfield Smith","1971","1973","C-F","6-9","235","November 18 1945","Eastern Kentucky University"
"Greg Smith","1969","1976","F","6-5","195","January 28 1947","Western Kentucky"
"Greg Smith","2012","2016","C","6-10","250","January 8 1991","Fresno State"
"Ish Smith","2011","2022","G","6-0","175","July 5 1988","Wake Forest"
"J.R. Smith","2005","2020","G-F","6-6","225","September 9 1985",""
"Jabari Smith","2001","2005","C","6-11","250","February 12 1977","LSU"
"Jalen Smith","2021","2022","F","6-10","215","March 16 2000","Maryland"
"Jason Smith","2008","2019","F-C","7-0","240","March 2 1986","Colorado State"
"Jerry Smith","2012","2012","G","6-2","190","September 26 1987","Louisville"
"Jim Smith","1982","1983","F","6-9","225","April 12 1958","Ohio State"
"Joe Smith","1996","2011","F","6-10","225","July 26 1975","Maryland"
"John Smith","1969","1970","C","7-0","235","May 24 1944","University of Southern Colorado"
"Josh Smith","2005","2018","F","6-9","225","December 5 1985",""
"Keith Smith","1987","1987","G","6-3","180","March 9 1964","Loyola Marymount"
"Ken Smith","1976","1976","F","6-7","185","July 12 1953","Tulsa"
"Kenny Smith","1988","1997","G","6-3","170","March 8 1965","UNC"
"LaBradford Smith","1992","1994","G","6-3","200","April 3 1969","Louisville"
"Larry Smith","1981","1993","F-C","6-8","215","January 18 1958","Alcorn State"
"Leon Smith","2002","2004","C","6-10","235","November 2 1980",""
"Michael Smith","1990","1995","F","6-10","225","May 19 1965","BYU"
"Michael Smith","1995","2001","F","6-8","230","March 28 1972","Providence"
"Mike Smith","2001","2001","F","6-8","195","April 15 1976","Louisiana-Monroe"
"Nolan Smith","2012","2013","G","6-2","185","July 25 1988","Duke"
"Otis Smith","1987","1992","G-F","6-5","210","January 30 1964","Jacksonville University"
"Pete Smith","1973","1973","F","6-6","205","","Valdosta State University"
"Phil Smith","1975","1983","G","6-4","185","April 22 1952","San Francisco"
"Randy Smith","1972","1983","G-F","6-3","180","December 12 1948","Buffalo State"
"Reggie Smith","1993","1994","C","6-10","240","August 21 1970","TCU"
"Robert Smith","1978","1985","G","5-11","165","March 10 1955","UNLV"
"Russ Smith","2015","2016","G","6-0","165","April 19 1991","Louisville"
"Sam Smith","1968","1971","F","6-7","230","January 27 1944","Kentucky Wesleyan College"
"Sam Smith","1979","1980","G","6-4","200","January 8 1955","UNLV"
"Steve Smith","1992","2005","G","6-7","200","March 31 1969","Michigan State"
"Steven Smith","2007","2007","F","6-8","235","April 12 1983","La Salle"
"Stevin Smith","1997","1997","G","6-2","208","January 24 1972","Arizona State"
"Theron Smith","2004","2005","F","6-8","225","October 3 1980","Ball State University"
"Tony Smith","1991","2001","G","6-3","185","June 14 1968","Marquette"
"William Smith","1972","1973","C","7-0","220","February 14 1949","Syracuse"
"Willie Smith","1977","1980","G","6-2","170","October 26 1953","Missouri"
"Zhaire Smith","2019","2020","G","6-3","205","June 4 1999","Texas Tech"
"Rik Smits","1989","2000","C","7-4","250","August 23 1966","Marist College"
"Mike Smrek","1986","1992","C","7-0","250","August 31 1962","Canisius"
"Joe Smyth","1954","1954","F","6-3","215","May 22 1929","Niagara University"
"Xavier Sneed","2022","2022","F","6-5","215","December 21 1997","Kansas State"
"Tony Snell","2014","2022","G-F","6-6","213","November 10 1991","New Mexico"
"Eric Snow","1996","2008","G","6-3","190","April 24 1973","Michigan State"
"Dick Snyder","1967","1979","G-F","6-5","207","February 1 1944","Davidson"
"Kirk Snyder","2005","2008","G","6-6","225","June 5 1983","Nevada"
"Chips Sobek","1950","1950","G-F","6-0","180","February 10 1920","Notre Dame"
"Ricky Sobers","1976","1986","G","6-3","198","January 15 1953","UNLV"
"Ron Sobie","1957","1960","G","6-3","185","September 21 1934","DePaul"
"Mike Sojourner","1975","1977","C-F","6-9","225","October 16 1953","Utah"
"Willie Sojourner","1972","1975","C-F","6-8","225","September 10 1948","Weber State"
"Will Solomon","2002","2009","G","6-1","185","July 20 1978","Clemson"
"Willie Somerset","1966","1969","G","5-8","170","March 17 1942","Duquesne"
"Darius Songaila","2004","2011","F","6-9","248","February 14 1978","Wake Forest"
"Dave Sorenson","1971","1973","F","6-8","225","July 8 1948","Ohio State"
"James Southerland","2014","2014","F","6-8","215","April 28 1990","Syracuse"
"Gino Sovran","1947","1947","F-G","6-2","175","December 17 1924","Detroit Mercy"
"Pape Sow","2005","2007","F","6-10","250","November 22 1981","Cal State Fullerton"
"Ken Spain","1971","1971","C","6-9","225","October 6 1946","Houston"
"Ray Spalding","2019","2021","F","6-10","215","March 11 1997","Louisville"
"Jim Spanarkel","1980","1984","G-F","6-5","190","June 28 1957","Duke"
"Vassilis Spanoulis","2007","2007","G","6-4","195","August 7 1982",""
"Daniel Sparks","1969","1970","F","6-8","200","April 17 1945","Vincennes University Weber State"
"Guy Sparrow","1958","1960","F","6-6","218","November 2 1932","Detroit Mercy"
"Rory Sparrow","1981","1992","G","6-2","175","June 12 1958","Villanova"
"Odie Spears","1949","1957","G","6-5","205","June 17 1924","Western Kentucky"
"Art Spector","1947","1950","F","6-4","200","October 17 1920","Villanova"
"Marreese Speights","2009","2018","C-F","6-10","255","August 4 1987","Florida"
"Omari Spellman","2019","2020","F","6-8","245","July 21 1997","Villanova"
"Andre Spencer","1993","1994","F","6-6","210","July 20 1964","Northern Arizona University"
"Elmore Spencer","1993","1997","C","7-0","270","December 6 1969","Georgia UNLV"
"Felton Spencer","1991","2002","C","7-0","265","January 15 1968","Louisville"
"Lou Spicer","1947","1947","F","6-2","195","November 12 1922","Syracuse"
"Craig Spitzer","1968","1968","C","7-0","225","December 18 1945","Tulane"
"Tiago Splitter","2011","2017","F-C","6-11","245","January 1 1985",""
"Art Spoelstra","1955","1958","C","6-9","220","September 11 1932","Western Kentucky"
"Bruce Spraggins","1968","1968","F","6-5","188","August 31 1939","Virginia Union University"
"Latrell Sprewell","1993","2005","G","6-5","190","September 8 1970","Alabama"
"Larry Spriggs","1982","1986","F","6-7","230","September 8 1959","Howard University"
"Jaden Springer","2022","2022","G","6-4","204","September 25 2002","Tennessee"
"Jim Springer","1949","1949","C","6-9","235","June 17 1926",""
"Jim Spruill","1949","1949","G","6-2","225","February 26 1923","Rice University"
"Ryan Stack","1999","2000","F","6-11","215","July 24 1975","South Carolina"
"Jerry Stackhouse","1996","2013","G-F","6-6","218","November 5 1974","UNC"
"Kevin Stacom","1975","1982","G","6-3","185","September 4 1951","Holy Cross Providence"
"Erv Staggs","1970","1970","F-G","6-6","195","September 1 1948","North Carolina A&T Cheyney (PA)"
"Bud Stallworth","1973","1977","F-G","6-5","190","January 18 1950","Kansas"
"Dave Stallworth","1966","1975","F-C","6-7","200","December 20 1941","Wichita State"
"Ed Stanczak","1950","1951","F","6-1","185","August 15 1921",""
"Cassius Stanley","2021","2022","G","6-5","190","August 18 1999","Duke"
"Terence Stansbury","1985","1987","G","6-5","170","February 27 1961","Temple"
"John Starks","1989","2002","G","6-3","180","August 10 1965","Oklahoma State"
"Keith Starr","1977","1977","G-F","6-6","190","March 14 1954","Pitt"
"Nik Stauskas","2015","2022","G","6-6","205","October 7 1993","Michigan"
"Larry Staverman","1959","1964","F","6-7","205","October 11 1936","Thomas More College"
"Larry Steele","1972","1980","G-F","6-5","180","May 5 1949","Kentucky"
"Matt Steigenga","1997","1997","F","6-7","225","March 27 1970","Michigan State"
"Vladimir Stepania","1999","2004","C","7-0","236","May 8 1976",""
"D.J. Stephens","2014","2019","G-F","6-5","188","December 19 1990","Memphis"
"Everette Stephens","1989","1991","G","6-2","175","October 21 1966","Purdue"
"Jack Stephens","1956","1956","G-F","6-3","185","May 18 1933","Notre Dame"
"Joe Stephens","1997","2000","F","6-7","210","January 28 1973","Colorado Little Rock"
"Lance Stephenson","2011","2022","G-F","6-6","230","September 5 1990","Cincinnati"
"Alex Stepheson","2016","2016","F","6-10","270","August 7 1987","UNC USC"
"Brook Steppe","1983","1989","G-F","6-5","195","November 7 1959","Georgia Tech"
"Barry Stevens","1993","1993","G-F","6-5","195","January 17 1963","Iowa State"
"Lamar Stevens","2021","2022","F","6-6","230","July 9 1997","Penn State"
"Wayne Stevens","1960","1960","F","6-3","185","June 19 1936","Cincinnati"
"DeShawn Stevenson","2001","2013","G","6-5","210","April 3 1981",""
"Dennis Stewart","1971","1971","F","6-6","220","April 11 1947","Michigan"
"Isaiah Stewart","2021","2022","F-C","6-8","250","May 22 2001","Washington"
"Kebu Stewart","1998","1998","F","6-8","239","December 19 1973","UNLV Cal State-Bakersfield"
"Larry Stewart","1992","1997","F","6-8","220","September 21 1968","Coppin State University"
"Michael Stewart","1998","2005","C","6-10","230","April 25 1975","California"
"Norm Stewart","1957","1957","F","6-5","205","January 20 1935","Missouri"
"Greg Stiemsma","2012","2015","C","6-11","260","September 26 1985","Wisconsin"
"Steve Stipanovich","1984","1988","C","6-11","245","November 17 1960","Missouri"
"Bryant Stith","1993","2002","G","6-5","208","December 10 1970","Virginia"
"Sam Stith","1962","1962","G","6-2","185","July 22 1937","St. Bonaventure"
"Tom Stith","1963","1963","F","6-5","210","January 21 1939","St. Bonaventure"
"Alex Stivrins","1986","1993","F","6-8","220","November 29 1962","Creighton Colorado"
"David Stockton","2015","2018","G","5-11","165","June 24 1991","Gonzaga"
"John Stockton*","1985","2003","G","6-1","170","March 26 1962","Gonzaga"
"Peja Stojakovi?","1999","2011","F","6-10","229","June 9 1977",""
"Ed Stokes","1998","1998","C","7-0","264","September 3 1971","Arizona"
"Greg Stokes","1986","1990","F-C","6-10","220","August 5 1963","Iowa"
"Jarnell Stokes","2015","2017","F-C","6-9","263","January 7 1994","Tennessee"
"Maurice Stokes*","1956","1958","F-C","6-7","232","June 17 1933","Saint Francis University"
"Art Stolkey","1947","1947","G","6-1","180","October 23 1920","Detroit Mercy"
"Randy Stoll","1968","1968","C","6-7","235","","Washington State"
"Diamond Stone","2017","2017","C","6-11","255","February 10 1997","Maryland"
"George Stone","1969","1972","F","6-7","195","February 9 1946","Marshall"
"Julyan Stone","2012","2018","G","6-6","200","December 7 1988","Texas-El Paso"
"Awvee Storey","2005","2008","G-F","6-6","222","April 18 1977","Illinois Arizona State"
"Damon Stoudamire","1996","2008","G","5-10","171","September 3 1973","Arizona"
"Salim Stoudamire","2006","2008","G","6-1","179","October 11 1982","Arizona"
"Amar'e Stoudemire","2003","2016","F-C","6-10","245","November 16 1982",""
"Paul Stovall","1973","1974","F","6-4","215","August 16 1948","Arizona State"
"D.J. Strawberry","2008","2008","G","6-5","201","June 15 1985","Maryland"
"Joe Strawder","1966","1968","C","6-10","235","September 21 1940","Bradley"
"Bill Stricker","1971","1971","F","6-9","210","January 22 1948","University of the Pacific"
"Erick Strickland","1997","2005","G","6-3","210","November 25 1973","Nebraska"
"Mark Strickland","1995","2003","F","6-9","210","July 14 1970","Temple"
"Rod Strickland","1989","2005","G","6-3","175","July 11 1966","DePaul"
"Roger Strickland","1964","1964","F","6-5","200","September 4 1940","Jacksonville University"
"John Stroeder","1988","1989","F","6-10","260","July 24 1958","Montana"
"Derek Strong","1992","2001","F","6-8","220","February 9 1968","Xavier"
"Lamont Strothers","1992","1993","G","6-4","190","May 10 1968","Christopher Newport University"
"John Stroud","1981","1981","F","6-7","215","October 29 1957","Ole Miss"
"Red Stroud","1968","1968","G","6-0","160","May 2 1941","Mississippi State"
"Max Strus","2020","2022","G","6-5","215","March 28 1996","Lewis (IL) DePaul"
"Rodney Stuckey","2008","2017","G","6-5","210","April 21 1986","Eastern Washington"
"Gene Stump","1948","1950","F-G","6-2","185","November 13 1923","DePaul"
"Stan Stutz","1947","1949","G-F","5-10","170","April 14 1920","Rhode Island"
"Jalen Suggs","2022","2022","G","6-4","205","June 3 2001","Gonzaga"
"Gary Suiter","1971","1971","C-F","6-9","225","January 18 1945","Midwestern State University"
"Jared Sullinger","2013","2017","F","6-9","260","March 4 1992","Ohio State"
"DaJuan Summers","2010","2013","F","6-8","230","January 24 1988","Georgetown"
"Edmond Sumner","2018","2021","G","6-4","196","December 31 1995","Xavier"
"Barry Sumpter","1989","1989","F-C","6-11","215","November 11 1965","Louisville Austin Peay State University"
"Don Sunderlage","1954","1955","G","6-1","180","December 20 1929","Illinois"
"Bruno Šundov","1999","2005","C","7-2","220","February 10 1980",""
"Jon Sundvold","1984","1992","G","6-2","170","July 2 1961","Missouri"
"Bob Sura","1996","2005","G","6-5","200","March 25 1973","Florida State"
"Dick Surhoff","1953","1954","F","6-4","210","November 16 1929","Long Island University"
"George Sutor","1968","1970","C","6-8","235","September 14 1943","La Salle"
"Dane Suttle","1984","1985","G","6-3","190","August 9 1961","Pepperdine"
"Greg Sutton","1992","1996","G","6-2","170","December 3 1967","Oral Roberts"
"Keith Swagerty","1969","1970","F","6-7","235","October 30 1945","University of the Pacific"
"Bennie Swain","1959","1959","F","6-8","220","December 16 1933","Texas Southern"
"Caleb Swanigan","2018","2020","F","6-9","260","April 18 1997","Purdue"
"Norm Swanson","1954","1954","F","6-6","210","October 4 1930","Detroit Mercy"
"Dan Swartz","1963","1963","F","6-4","215","December 23 1934","Morehead State University"
"Mike Sweetney","2004","2007","F","6-8","275","October 25 1982","Georgetown"
"Robert Swift","2005","2009","C","7-0","245","December 3 1985",""
"Skeeter Swift","1970","1974","G","6-3","204","June 19 1946","East Tennessee State University"
"Stromile Swift","2001","2009","F","6-9","225","November 21 1979","LSU"
"Aaron Swinson","1995","1995","F","6-5","230","January 9 1971","Auburn"
"Craig Sword","2022","2022","G","6-3","196","January 16 1994","Mississippi State"
"Pape Sy","2011","2011","F","6-7","225","April 5 1988",""
"Buck Sydnor","1947","1947","G","5-10","175","September 19 1921","Western Kentucky"
"Keifer Sykes","2022","2022","G","6-0","180","December 30 1993","Green Bay"
"Larry Sykes","1996","1996","F","6-9","255","April 11 1973","Xavier"
"Brett Szabo","1997","1997","C","6-11","230","February 1 1968","Augustana College (SD)"
"Wally Szczerbiak","2000","2009","F","6-7","244","March 5 1977","Miami University"
"Walt Szczerbiak","1972","1972","F","6-6","210","August 21 1949","George Washington"
"Žan Tabak","1995","2001","C","7-0","245","June 15 1970",""
"Yuta Tabuse","2005","2005","G","5-9","165","October 5 1980","Brigham Young University Hawaii"
"Chris Taft","2006","2006","F","6-10","260","March 10 1985","Pitt"
"Sid Tanenbaum","1948","1949","G","6-0","160","October 8 1925","NYU"
"Dragan Tarla?","2001","2001","C","6-10","260","May 9 1973",""
"Roy Tarpley","1987","1995","C-F","6-11","230","November 28 1964","Michigan"
"Levern Tart","1968","1971","G-F","6-2","195","June 1 1942","Bradley"
"Jae'Sean Tate","2021","2022","F","6-4","230","October 28 1995","Ohio State"
"Earl Tatum","1977","1980","G-F","6-5","185","July 26 1953","Marquette"
"Jayson Tatum","2018","2022","F","6-8","210","March 3 1998","Duke"
